GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5126496,160,51,,,,,,Fairfax city,22565,8680,21498,8204,5545,5407
5126592,160,51,,,,,,Fairfax Station CDP,12030,4140,,,3497,
5126701,160,51,,,,,,Fair Lakes CDP,7942,3358,,,1884,
5126736,160,51,,,,,,Fairlawn CDP,2367,1193,2211,1065,674,632
5126875,160,51,,,,,,Fair Oaks CDP,30223,14367,,,7331,
5126944,160,51,,,,,,Fairview CDP,240,69,,,39,
5127040,160,51,,,,,,Fairview Beach CDP,391,312,230,222,100,63
5127200,160,51,,,,,,Falls Church city,12332,5489,10377,4725,3199,2622
5128496,160,51,,,,,,Flint Hill CDP,209,124,,,61,
5128528,160,51,,,,,,Floris CDP,8375,2562,,,2308,
5128688,160,51,,,,,,Forest CDP,9106,3922,8006,3294,2586,2292
5129008,160,51,,,,,,Fort Belvoir CDP,7100,2018,7176,2056,1700,1867
5129040,160,51,,,,,,Fort Chiswell CDP,939,417,911,380,271,264
5129136,160,51,,,,,,Fort Hunt CDP,16045,6113,12923,5050,4695,3911
5129552,160,51,,,,,,Franconia CDP,18245,7627,31907,13509,4518,8186
5129628,160,51,,,,,,Franklin Farm CDP,19288,6197,,,5459,
5129744,160,51,,,,,,Fredericksburg city,24286,10467,19279,8888,4854,3925
5129840,160,51,,,,,,Free Union CDP,193,82,,,55,
5129920,160,51,,,,,,Fries town,484,340,614,337,144,177
5129968,160,51,,,,,,Front Royal town,14440,6184,13589,5752,3647,3584
5130208,160,51,,,,,,Galax city,7042,3252,6837,3217,1801,1845
5130384,160,51,,,,,,Gargatha CDP,381,187,,,109,
5130480,160,51,,,,,,Gasburg CDP,481,636,,,155,
5130496,160,51,,,,,,Gate City town,2034,1087,2159,1119,561,604
5130618,160,51,,,,,,George Mason CDP,9496,1730,,,1260,
5131056,160,51,,,,,,Glade Spring town,1456,670,1374,626,411,403
5131200,160,51,,,,,,Glen Allen CDP,14774,6241,12562,5297,4021,3505
5131376,160,51,,,,,,Glen Lyn town,115,58,151,62,27,39
5131488,160,51,,,,,,Glenvar CDP,976,459,,,174,
5131616,160,51,,,,,,Gloucester Point CDP,9402,4257,9429,4071,2674,2715
5131808,160,51,,,,,,Goochland CDP,861,338,,,232,
5131968,160,51,,,,,,Goshen town,361,192,406,214,98,108
5132320,160,51,,,,,,Gratton CDP,937,412,,,290,
5132496,160,51,,,,,,Great Falls CDP,15427,5179,8549,2852,4439,2466
5132560,160,51,,,,,,Greenbackville CDP,192,145,,,57,
5132592,160,51,,,,,,Greenbriar CDP,8166,3224,,,2145,
5132624,160,51,,,,,,Greenbush CDP,220,96,,,58,
5132944,160,51,,,,,,Greenville CDP,832,259,886,251,178,194
5133232,160,51,,,,,,Gretna town,1267,686,1257,635,332,326
5133488,160,51,,,,,,Grottoes town,2668,1135,2114,894,738,593
