GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
5120768,160,51,,,,,,Cumberland CDP,393,178,,,393,,208,,167,,3,,1,,0,,4,,10,
5121008,160,51,,,,,,Dahlgren CDP,2653,1184,997,510,2653,997,1629,701,810,252,29,3,45,15,0,1,38,6,102,19
5121016,160,51,,,,,,Dahlgren Center CDP,599,192,,,599,,437,,80,,4,,27,,2,,10,,39,
5121088,160,51,,,,,,Dale City CDP,65969,20922,55971,18171,65969,55971,29976,31818,18883,16099,471,235,5005,2840,111,107,7703,2392,3820,2480
5121152,160,51,,,,,,Daleville CDP,2557,1154,1454,573,2557,1454,2473,1415,46,22,3,3,17,6,0,0,0,2,18,6
5121312,160,51,,,,,,Dante CDP,649,367,,,649,,633,,11,,0,,0,,0,,0,,5,
5121344,160,51,,,,,,Danville city,43055,22438,48411,23108,43055,48411,20531,26075,20795,21352,75,81,403,291,11,14,664,219,576,379
5121776,160,51,,,,,,Deep Creek CDP,115,84,,,115,,109,,4,,0,,0,,0,,0,,2,
5121872,160,51,,,,,,Deerfield CDP,132,78,,,132,,120,,0,,0,,0,,1,,0,,11,
5122064,160,51,,,,,,Deltaville CDP,1119,1212,,,1119,,1073,,23,,8,,5,,0,,2,,8,
5122976,160,51,,,,,,Dooms CDP,1327,629,1282,553,1327,1282,1273,1249,26,17,0,0,1,1,0,0,9,0,18,15
5123392,160,51,,,,,,Dranesville CDP,11921,3895,,,11921,,9087,,504,,27,,1555,,8,,307,,433,
5123408,160,51,,,,,,Draper CDP,320,153,,,320,,298,,19,,0,,0,,0,,0,,3,
5123584,160,51,,,,,,Dryden CDP,1208,518,1253,507,1208,1253,1180,1236,6,9,1,4,8,3,0,0,1,0,12,1
5123648,160,51,,,,,,Dublin town,2534,943,2288,969,2534,2288,2218,2033,239,196,1,5,13,7,0,0,27,11,36,36
5123680,160,51,,,,,,Duffield town,91,47,62,30,91,62,89,62,0,0,0,0,1,0,0,0,0,0,1,0
5123732,160,51,,,,,,Dulles Town Center CDP,4601,1797,,,4601,,2323,,561,,5,,1106,,2,,399,,205,
5123744,160,51,,,,,,Dumbarton CDP,7879,3911,6674,3782,7879,6674,3724,4032,2567,1931,27,18,477,376,7,1,792,147,285,169
5123760,160,51,,,,,,Dumfries town,4961,1689,4937,1699,4961,4937,1962,2612,1740,1741,73,31,213,53,3,0,656,283,314,217
5123952,160,51,,,,,,Dungannon town,332,179,317,149,332,317,328,317,0,0,0,0,0,0,0,0,3,0,1,0
5124544,160,51,,,,,,East Lexington CDP,1463,688,,,1463,,1247,,126,,10,,41,,1,,1,,37,
5124752,160,51,,,,,,Eastville town,305,79,203,75,305,203,174,139,121,59,0,1,2,0,0,0,4,1,4,3
5124816,160,51,,,,,,Ebony CDP,161,85,,,161,,98,,62,,0,,0,,0,,0,,1,
